city,locality,area_type,road_width_category,heavy_vehicle_allowed,peak_hour_restriction,congestion_level,last_mile_difficulty,remarks
Chennai,Area_0,OLD_CITY,NARROW,True,False,LOW,3,generated
Chennai,Area_1,URBAN,NARROW,True,False,LOW,5,generated
Delhi,Area_2,RURAL,WIDE,True,False,LOW,1,generated
Pune,Area_3,RURAL,WIDE,False,False,LOW,4,generated
Kolkata,Area_4,RURAL,MEDIUM,False,False,MEDIUM,1,generated
Mumbai,Area_5,RURAL,MEDIUM,False,False,MEDIUM,1,generated
Hyderabad,Area_6,RURAL,NARROW,True,True,MEDIUM,5,generated
Chennai,Area_7,OLD_CITY,NARROW,True,False,HIGH,1,generated
Chennai,Area_8,OLD_CITY,WIDE,False,True,LOW,3,generated
Bengaluru,Area_9,OLD_CITY,NARROW,True,False,MEDIUM,3,generated
Bengaluru,Area_10,RURAL,MEDIUM,False,True,HIGH,1,generated
Mumbai,Area_11,RURAL,WIDE,False,False,HIGH,5,generated
Mumbai,Area_12,OLD_CITY,NARROW,False,False,LOW,1,generated
Chennai,Area_13,RURAL,MEDIUM,True,False,MEDIUM,3,generated
Pune,Area_14,OLD_CITY,NARROW,False,True,HIGH,4,generated
Delhi,Area_15,OLD_CITY,NARROW,False,False,HIGH,2,generated
Mumbai,Area_16,URBAN,WIDE,True,True,HIGH,4,generated
Mumbai,Area_17,OLD_CITY,WIDE,False,False,HIGH,4,generated
Hyderabad,Area_18,URBAN,NARROW,False,True,HIGH,5,generated
Hyderabad,Area_19,OLD_CITY,WIDE,True,False,MEDIUM,1,generated
Pune,Area_20,OLD_CITY,MEDIUM,True,False,MEDIUM,3,generated
Bengaluru,Area_21,URBAN,MEDIUM,True,False,LOW,3,generated
Mumbai,Area_22,URBAN,NARROW,True,False,MEDIUM,2,generated
Delhi,Area_23,RURAL,NARROW,False,False,MEDIUM,5,generated
Pune,Area_24,RURAL,NARROW,False,False,HIGH,4,generated
Chennai,Area_25,RURAL,WIDE,False,False,MEDIUM,2,generated
Chennai,Area_26,OLD_CITY,MEDIUM,False,True,HIGH,4,generated
Hyderabad,Area_27,URBAN,NARROW,True,False,HIGH,2,generated
Bengaluru,Area_28,RURAL,MEDIUM,True,True,LOW,3,generated
Bengaluru,Area_29,OLD_CITY,NARROW,True,True,MEDIUM,3,generated
Bengaluru,Area_30,OLD_CITY,NARROW,False,False,MEDIUM,2,generated
Mumbai,Area_31,RURAL,MEDIUM,False,False,HIGH,1,generated
Pune,Area_32,OLD_CITY,NARROW,True,False,LOW,4,generated
Mumbai,Area_33,URBAN,MEDIUM,True,True,LOW,5,generated
Kolkata,Area_34,URBAN,WIDE,True,True,LOW,4,generated
Delhi,Area_35,RURAL,WIDE,True,False,HIGH,2,generated
Chennai,Area_36,OLD_CITY,WIDE,False,True,HIGH,5,generated
Chennai,Area_37,URBAN,MEDIUM,False,False,LOW,2,generated
Bengaluru,Area_38,RURAL,WIDE,True,False,MEDIUM,4,generated
Hyderabad,Area_39,URBAN,NARROW,True,False,HIGH,5,generated
Pune,Area_40,URBAN,MEDIUM,False,False,MEDIUM,2,generated
Pune,Area_41,OLD_CITY,MEDIUM,False,False,HIGH,3,generated
Bengaluru,Area_42,URBAN,NARROW,False,True,HIGH,5,generated
Kolkata,Area_43,URBAN,WIDE,False,True,LOW,5,generated
Chennai,Area_44,URBAN,MEDIUM,False,False,LOW,4,generated
Kolkata,Area_45,RURAL,NARROW,True,False,HIGH,1,generated
Chennai,Area_46,URBAN,NARROW,False,True,LOW,3,generated
Hyderabad,Area_47,OLD_CITY,MEDIUM,True,False,MEDIUM,2,generated
Bengaluru,Area_48,OLD_CITY,MEDIUM,True,True,MEDIUM,2,generated
Kolkata,Area_49,RURAL,WIDE,True,False,LOW,5,generated
