delivery_event_id,shipment_id,delivery_outcome,failure_reason,human_override_flag,delivery_delay_minutes
EVT000000,SHP000000,Delayed,Customer Unavailable,False,244
EVT000001,SHP000001,Delayed,Weather,False,299
EVT000002,SHP000002,Failed,Weather,False,18
EVT000003,SHP000003,Delivered,Weather,False,247
EVT000004,SHP000004,Delivered,None,False,159
EVT000005,SHP000005,Delivered,Weather,False,205
EVT000006,SHP000006,Delivered,Customer Unavailable,False,190
EVT000007,SHP000007,Delivered,Customer Unavailable,True,68
EVT000008,SHP000008,Delivered,Address Issue,True,278
EVT000009,SHP000009,Delivered,Address Issue,False,6
EVT000010,SHP000010,Delivered,Customer Unavailable,True,273
EVT000011,SHP000011,Delivered,Customer Unavailable,False,43
EVT000012,SHP000012,Delivered,Traffic,True,35
EVT000013,SHP000013,Delayed,Customer Unavailable,False,4
EVT000014,SHP000014,Delivered,Customer Unavailable,False,268
EVT000015,SHP000015,Delayed,Traffic,False,277
EVT000016,SHP000016,Delayed,Customer Unavailable,False,188
EVT000017,SHP000017,Delivered,Customer Unavailable,False,90
EVT000018,SHP000018,Delivered,Weather,False,129
EVT000019,SHP000019,Delivered,None,False,210
EVT000020,SHP000020,Delivered,Traffic,False,125
EVT000021,SHP000021,Delivered,Traffic,False,187
EVT000022,SHP000022,Delivered,Traffic,False,273
EVT000023,SHP000023,Delayed,Traffic,True,6
EVT000024,SHP000024,Delivered,Weather,True,260
EVT000025,SHP000025,Delivered,Weather,False,16
EVT000026,SHP000026,Delivered,Address Issue,False,47
EVT000027,SHP000027,Delivered,Customer Unavailable,False,231
EVT000028,SHP000028,Delivered,Customer Unavailable,True,19
EVT000029,SHP000029,Delivered,None,False,175
EVT000030,SHP000030,Failed,Address Issue,True,67
EVT000031,SHP000031,Delivered,Address Issue,False,218
EVT000032,SHP000032,Delivered,None,False,160
EVT000033,SHP000033,Delivered,None,False,43
EVT000034,SHP000034,Delivered,None,False,95
EVT000035,SHP000035,Delivered,Traffic,False,38
EVT000036,SHP000036,Delivered,None,False,218
EVT000037,SHP000037,Delivered,Address Issue,False,190
EVT000038,SHP000038,Delivered,None,False,37
EVT000039,SHP000039,Delivered,Customer Unavailable,False,208
EVT000040,SHP000040,Delivered,None,False,252
EVT000041,SHP000041,Delivered,Customer Unavailable,False,262
EVT000042,SHP000042,Delivered,Customer Unavailable,True,125
EVT000043,SHP000043,Delivered,Address Issue,False,208
EVT000044,SHP000044,Failed,Traffic,False,4
EVT000045,SHP000045,Delayed,None,False,49
EVT000046,SHP000046,Delivered,Address Issue,False,186
EVT000047,SHP000047,Delivered,Customer Unavailable,True,197
