resource_id,resource_type,vehicle_type,max_load_kg,emission_factor_gkm,area_familiarity_score,historical_success_rate
RES000000,Rider,Van,162.39,85.57,90,0.74
RES000001,Rider,Bike,663.53,300.46,96,0.71
RES000002,Vehicle,Truck,292.99,93.88,37,0.97
RES000003,Vehicle,Bike,916.56,172.22,37,0.89
RES000004,Vehicle,Truck,319.87,63.42,88,0.79
RES000005,Rider,Bike,692.85,331.24,40,0.97
RES000006,Vehicle,Truck,681.83,305.59,79,0.87
RES000007,Rider,Van,957.5,138.42,62,0.9
RES000008,Vehicle,Bike,565.13,143.37,81,0.76
RES000009,Vehicle,Bike,833.75,118.58,95,0.74
RES000010,Vehicle,Bike,116.04,349.5,45,0.73
RES000011,Vehicle,Bike,716.19,77.06,85,0.79
RES000012,Rider,Truck,327.56,185.16,86,0.81
RES000013,Vehicle,Truck,883.4,342.1,78,0.8
RES000014,Rider,Bike,675.8,124.93,97,0.97
RES000015,Vehicle,Truck,781.43,252.59,37,0.72
RES000016,Vehicle,Bike,134.38,125.03,33,0.83
RES000017,Rider,Van,849.28,253.97,40,0.78
RES000018,Rider,Bike,699.85,98.33,35,0.77
RES000019,Rider,Van,630.39,191.15,62,0.81
RES000020,Vehicle,Truck,805.35,109.62,69,0.93
RES000021,Vehicle,Van,220.44,278.43,65,0.82
RES000022,Rider,Van,395.3,275.85,91,0.9
RES000023,Vehicle,Van,565.89,252.27,66,0.83
RES000024,Vehicle,Bike,449.26,243.16,89,0.97
RES000025,Rider,Bike,788.89,272.4,91,0.96
RES000026,Vehicle,Van,130.73,172.15,93,0.8
RES000027,Vehicle,Van,881.52,327.52,74,0.8
RES000028,Vehicle,Van,618.21,122.78,61,0.74
RES000029,Rider,Bike,205.47,220.49,79,0.96
RES000030,Vehicle,Van,898.99,251.11,67,0.88
RES000031,Rider,Truck,136.1,154.08,90,0.91
RES000032,Rider,Van,836.58,66.48,99,0.8
RES000033,Vehicle,Bike,877.78,341.6,47,0.71
RES000034,Rider,Bike,749.22,184.93,32,0.86
RES000035,Vehicle,Van,394.71,321.08,88,0.87
RES000036,Vehicle,Van,839.26,137.31,86,0.77
RES000037,Vehicle,Truck,334.6,286.4,68,0.73
RES000038,Vehicle,Truck,525.91,256.0,42,0.78
RES000039,Vehicle,Truck,117.81,75.62,32,0.97
RES000040,Rider,Truck,237.31,171.29,65,0.89
RES000041,Rider,Bike,556.07,266.62,31,0.7
RES000042,Rider,Bike,401.16,68.77,42,0.87
RES000043,Vehicle,Truck,548.81,309.69,92,0.86
RES000044,Rider,Truck,935.35,297.75,73,0.86
RES000045,Vehicle,Bike,806.17,240.12,95,0.89
RES000046,Rider,Van,664.45,117.32,80,0.93
RES000047,Vehicle,Truck,407.36,146.35,79,0.77
RES000048,Vehicle,Truck,457.56,141.58,56,0.82
RES000049,Rider,Bike,117.51,242.29,52,0.7
RES000050,Vehicle,Bike,462.15,297.25,74,0.88
RES000051,Vehicle,Van,173.22,236.66,53,0.73
RES000052,Rider,Truck,939.62,293.39,76,0.72
RES000053,Vehicle,Bike,141.06,90.47,36,0.71
RES000054,Vehicle,Bike,35.12,114.34,41,0.89
RES000055,Rider,Bike,248.86,221.74,36,0.88
RES000056,Rider,Van,305.38,188.53,71,0.72
RES000057,Rider,Bike,266.7,322.16,97,0.89
RES000058,Vehicle,Truck,390.96,334.36,31,0.82
RES000059,Vehicle,Van,268.89,226.75,39,0.79
RES000060,Vehicle,Van,955.94,201.69,39,0.7
RES000061,Rider,Bike,667.09,302.07,92,0.94
RES000062,Rider,Bike,925.82,267.41,62,0.85
RES000063,Vehicle,Van,703.61,97.06,88,0.77
RES000064,Rider,Truck,975.83,99.37,77,0.87
RES000065,Rider,Bike,314.74,175.03,47,0.91
RES000066,Rider,Truck,441.87,308.73,82,0.73
RES000067,Rider,Bike,20.93,208.7,33,0.82
RES000068,Vehicle,Truck,280.66,346.97,84,0.84
RES000069,Vehicle,Van,499.09,295.74,82,0.72
RES000070,Rider,Van,64.89,72.45,75,0.75
RES000071,Vehicle,Bike,730.29,307.0,96,0.87
RES000072,Rider,Truck,729.06,176.32,86,0.8
RES000073,Rider,Van,571.23,166.9,74,0.82
RES000074,Rider,Bike,196.6,65.43,72,0.72
RES000075,Vehicle,Van,83.19,161.28,39,0.76
RES000076,Rider,Bike,372.35,86.34,45,0.96
RES000077,Vehicle,Truck,661.12,243.6,38,0.77
RES000078,Vehicle,Truck,928.79,152.6,73,0.85
RES000079,Rider,Bike,469.02,288.97,91,0.94
RES000080,Vehicle,Van,971.74,229.44,36,0.73
RES000081,Vehicle,Truck,247.1,97.21,71,0.83
RES000082,Vehicle,Van,766.51,225.25,51,0.91
RES000083,Vehicle,Truck,34.9,72.63,52,0.82
RES000084,Vehicle,Van,571.3,203.5,82,0.78
RES000085,Vehicle,Bike,49.06,255.42,91,0.96
RES000086,Rider,Van,986.08,295.89,51,0.72
RES000087,Rider,Bike,382.42,145.61,51,0.7
RES000088,Vehicle,Bike,578.82,209.68,31,0.92
RES000089,Rider,Truck,436.64,221.93,96,0.96
RES000090,Vehicle,Truck,513.68,266.24,59,0.86
RES000091,Rider,Bike,293.67,173.74,93,0.72
RES000092,Vehicle,Truck,38.59,284.8,75,0.78
RES000093,Rider,Bike,988.61,180.38,40,0.76
RES000094,Rider,Truck,421.14,304.46,78,0.96
RES000095,Vehicle,Bike,721.67,200.51,72,0.95
RES000096,Vehicle,Bike,544.88,69.09,83,0.74
RES000097,Rider,Bike,838.79,336.31,38,0.8
RES000098,Vehicle,Truck,96.55,66.61,80,0.78
RES000099,Vehicle,Bike,514.57,268.17,97,0.81
RES000100,Rider,Truck,342.96,109.79,81,0.86
RES000101,Rider,Van,700.72,81.63,84,0.75
RES000102,Rider,Bike,64.46,253.72,75,0.97
RES000103,Rider,Van,18.33,290.27,80,0.9
RES000104,Vehicle,Truck,72.83,321.98,38,0.72
RES000105,Rider,Truck,223.03,118.69,33,0.77
RES000106,Rider,Van,378.16,120.23,45,0.94
RES000107,Vehicle,Truck,800.84,125.44,49,0.89
RES000108,Rider,Bike,836.61,255.95,57,0.78
RES000109,Vehicle,Van,839.87,291.66,56,0.75
RES000110,Vehicle,Van,706.78,294.29,83,0.79
RES000111,Vehicle,Truck,556.3,206.48,36,0.74
RES000112,Vehicle,Van,687.05,305.78,72,0.85
RES000113,Vehicle,Van,19.98,175.58,84,0.96
RES000114,Vehicle,Van,539.22,131.07,64,0.93
RES000115,Rider,Bike,327.88,209.38,58,0.91
RES000116,Rider,Bike,727.76,308.33,42,0.92
RES000117,Vehicle,Bike,583.83,60.57,54,0.76
RES000118,Vehicle,Truck,353.06,166.95,53,0.78
RES000119,Rider,Truck,611.79,221.1,48,0.82
RES000120,Vehicle,Van,272.07,345.54,33,0.71
RES000121,Rider,Bike,463.17,179.75,41,0.75
RES000122,Rider,Van,849.44,272.52,61,0.78
RES000123,Rider,Truck,705.86,164.17,85,0.9
RES000124,Vehicle,Truck,536.17,170.26,37,0.86
RES000125,Vehicle,Bike,464.73,270.46,76,0.77
RES000126,Rider,Bike,523.37,84.88,59,0.9
RES000127,Vehicle,Bike,134.09,203.11,57,0.95
RES000128,Vehicle,Bike,283.83,153.17,41,0.84
RES000129,Rider,Bike,63.44,272.46,77,0.88
RES000130,Rider,Bike,282.44,158.89,32,0.77
RES000131,Vehicle,Bike,635.76,135.36,40,0.9
RES000132,Vehicle,Bike,953.87,184.64,56,0.73
RES000133,Vehicle,Bike,312.9,215.47,84,0.86
RES000134,Rider,Bike,198.48,327.52,30,0.86
RES000135,Rider,Bike,194.09,176.49,33,0.79
RES000136,Vehicle,Truck,229.36,347.57,39,0.77
RES000137,Rider,Bike,737.94,202.81,41,0.75
RES000138,Vehicle,Van,530.57,236.7,99,0.83
RES000139,Vehicle,Truck,956.11,149.39,35,0.88
RES000140,Vehicle,Bike,47.03,161.9,32,0.71
RES000141,Vehicle,Bike,584.22,128.31,73,0.85
RES000142,Vehicle,Van,511.9,260.79,77,0.76
RES000143,Rider,Bike,146.14,279.34,59,0.88
RES000144,Vehicle,Van,834.47,91.07,47,0.97
RES000145,Rider,Bike,390.39,118.41,82,0.88
RES000146,Vehicle,Truck,482.6,106.94,92,0.95
RES000147,Vehicle,Van,650.19,170.88,43,0.89
RES000148,Rider,Bike,201.59,98.96,71,0.91
RES000149,Rider,Truck,887.74,265.72,63,0.85
RES000150,Rider,Truck,470.9,337.68,61,0.88
RES000151,Vehicle,Van,899.82,341.98,72,0.9
RES000152,Rider,Van,291.06,304.47,47,0.75
RES000153,Vehicle,Bike,746.25,138.06,84,0.76
RES000154,Rider,Van,592.03,114.25,79,0.75
