city,area_type,time_slot,traffic_level,avg_delay_minutes,risk_weight
Delhi,URBAN,EVENING,MEDIUM,65,0.66
Pune,OLD_CITY,EVENING,LOW,49,0.11
Hyderabad,URBAN,EVENING,MEDIUM,45,0.91
Pune,OLD_CITY,MORNING,MEDIUM,82,0.71
Pune,OLD_CITY,MORNING,HIGH,13,0.16
Pune,OLD_CITY,MORNING,HIGH,27,0.46
Kolkata,URBAN,AFTERNOON,LOW,77,0.16
Mumbai,URBAN,EVENING,MEDIUM,80,0.96
Bengaluru,OLD_CITY,EVENING,LOW,0,0.42
Chennai,URBAN,MORNING,LOW,59,0.84
Bengaluru,OLD_CITY,MORNING,LOW,12,0.75
Hyderabad,URBAN,EVENING,LOW,61,0.6
Hyderabad,OLD_CITY,AFTERNOON,LOW,88,0.26
Chennai,URBAN,EVENING,MEDIUM,17,0.38
Bengaluru,URBAN,EVENING,MEDIUM,62,0.68
Mumbai,URBAN,AFTERNOON,HIGH,30,0.52
Chennai,URBAN,EVENING,HIGH,66,0.48
Bengaluru,URBAN,EVENING,LOW,54,0.93
Mumbai,OLD_CITY,EVENING,MEDIUM,6,0.52
Chennai,URBAN,MORNING,MEDIUM,8,0.46
Delhi,OLD_CITY,MORNING,LOW,70,0.2
Bengaluru,URBAN,EVENING,MEDIUM,20,0.36
Chennai,URBAN,EVENING,HIGH,35,0.33
Hyderabad,OLD_CITY,MORNING,MEDIUM,46,0.86
Pune,OLD_CITY,AFTERNOON,HIGH,54,0.46
Delhi,URBAN,MORNING,MEDIUM,16,0.26
Hyderabad,OLD_CITY,MORNING,MEDIUM,85,0.11
Hyderabad,OLD_CITY,MORNING,MEDIUM,55,0.27
Pune,URBAN,AFTERNOON,HIGH,44,0.26
Pune,URBAN,AFTERNOON,HIGH,2,0.75
Pune,OLD_CITY,EVENING,MEDIUM,23,0.35
Pune,URBAN,AFTERNOON,LOW,1,0.86
Hyderabad,URBAN,MORNING,MEDIUM,89,0.45
Delhi,URBAN,EVENING,MEDIUM,71,0.91
Kolkata,URBAN,AFTERNOON,HIGH,4,0.98
Chennai,OLD_CITY,MORNING,HIGH,6,0.55
Delhi,URBAN,MORNING,HIGH,29,0.44
Hyderabad,URBAN,MORNING,LOW,0,0.18
Kolkata,URBAN,MORNING,MEDIUM,1,0.48
Pune,URBAN,EVENING,MEDIUM,1,0.35
Kolkata,OLD_CITY,AFTERNOON,HIGH,59,0.21
Kolkata,URBAN,MORNING,MEDIUM,47,0.45
Pune,URBAN,MORNING,LOW,26,0.81
Pune,OLD_CITY,EVENING,LOW,68,0.57
Pune,OLD_CITY,MORNING,MEDIUM,56,0.91
Mumbai,URBAN,AFTERNOON,LOW,7,0.55
Mumbai,OLD_CITY,EVENING,LOW,48,0.28
Chennai,URBAN,MORNING,LOW,14,0.41
Mumbai,URBAN,MORNING,LOW,83,0.51
Bengaluru,URBAN,EVENING,LOW,57,0.28
Pune,OLD_CITY,MORNING,MEDIUM,30,0.25
Bengaluru,OLD_CITY,MORNING,HIGH,86,0.68
Mumbai,URBAN,AFTERNOON,LOW,86,0.97
Chennai,OLD_CITY,EVENING,MEDIUM,10,0.47
Hyderabad,URBAN,EVENING,LOW,31,0.49
Kolkata,OLD_CITY,AFTERNOON,MEDIUM,72,0.18
Bengaluru,OLD_CITY,EVENING,HIGH,45,0.34
Kolkata,OLD_CITY,MORNING,LOW,17,0.91
Chennai,OLD_CITY,EVENING,MEDIUM,82,0.39
Mumbai,URBAN,AFTERNOON,MEDIUM,2,0.69
Bengaluru,URBAN,EVENING,HIGH,83,0.77
Mumbai,URBAN,MORNING,LOW,4,0.15
Pune,OLD_CITY,EVENING,MEDIUM,87,0.75
Mumbai,OLD_CITY,AFTERNOON,MEDIUM,45,0.2
Delhi,URBAN,AFTERNOON,MEDIUM,11,0.6
Mumbai,OLD_CITY,EVENING,LOW,55,0.45
Chennai,URBAN,AFTERNOON,HIGH,22,0.81
Delhi,URBAN,EVENING,MEDIUM,41,0.15
Kolkata,URBAN,AFTERNOON,MEDIUM,37,0.94
Pune,URBAN,AFTERNOON,MEDIUM,48,0.93
Chennai,OLD_CITY,EVENING,HIGH,83,0.41
Chennai,URBAN,MORNING,MEDIUM,63,0.63
Chennai,URBAN,AFTERNOON,MEDIUM,10,0.79
Pune,OLD_CITY,MORNING,LOW,11,0.42
Chennai,URBAN,MORNING,MEDIUM,82,0.37
Mumbai,OLD_CITY,MORNING,MEDIUM,34,0.85
Delhi,OLD_CITY,EVENING,MEDIUM,8,0.78
Delhi,OLD_CITY,AFTERNOON,LOW,8,0.93
Delhi,URBAN,AFTERNOON,HIGH,2,0.55
Hyderabad,OLD_CITY,AFTERNOON,MEDIUM,53,0.3
Kolkata,URBAN,EVENING,LOW,18,0.75
Pune,URBAN,AFTERNOON,HIGH,9,0.19
Bengaluru,OLD_CITY,MORNING,HIGH,23,0.58
Pune,URBAN,EVENING,MEDIUM,55,0.27
Delhi,OLD_CITY,EVENING,HIGH,57,0.83
Mumbai,URBAN,EVENING,HIGH,78,0.36
Hyderabad,URBAN,EVENING,MEDIUM,60,0.95
Kolkata,OLD_CITY,EVENING,MEDIUM,46,0.98
Kolkata,URBAN,EVENING,LOW,35,0.22
Bengaluru,OLD_CITY,EVENING,HIGH,16,0.44
Bengaluru,URBAN,MORNING,MEDIUM,12,0.66
Bengaluru,OLD_CITY,EVENING,MEDIUM,56,0.72
Pune,URBAN,AFTERNOON,HIGH,79,0.22
Hyderabad,URBAN,AFTERNOON,HIGH,14,0.1
Hyderabad,OLD_CITY,EVENING,MEDIUM,77,0.42
Mumbai,URBAN,EVENING,LOW,43,0.16
Hyderabad,OLD_CITY,EVENING,HIGH,68,0.32
Bengaluru,OLD_CITY,EVENING,HIGH,57,0.73
Delhi,URBAN,EVENING,MEDIUM,32,0.29
Hyderabad,OLD_CITY,AFTERNOON,MEDIUM,57,0.92
Delhi,OLD_CITY,AFTERNOON,MEDIUM,22,0.9
Mumbai,URBAN,EVENING,MEDIUM,67,0.23
Pune,OLD_CITY,AFTERNOON,HIGH,14,0.68
Kolkata,OLD_CITY,AFTERNOON,LOW,1,0.82
Pune,OLD_CITY,MORNING,LOW,76,0.75
Hyderabad,OLD_CITY,MORNING,LOW,81,0.63
Bengaluru,URBAN,EVENING,HIGH,49,0.14
Delhi,URBAN,AFTERNOON,LOW,54,0.61
Chennai,URBAN,MORNING,HIGH,19,0.84
Mumbai,URBAN,EVENING,MEDIUM,20,0.64
Bengaluru,URBAN,EVENING,MEDIUM,34,0.98
Delhi,URBAN,MORNING,MEDIUM,57,0.49
Bengaluru,URBAN,MORNING,MEDIUM,2,0.44
Bengaluru,URBAN,AFTERNOON,MEDIUM,77,0.38
Pune,URBAN,EVENING,MEDIUM,33,0.96
Chennai,OLD_CITY,EVENING,HIGH,89,0.38
Kolkata,URBAN,MORNING,MEDIUM,82,0.99
Mumbai,URBAN,MORNING,LOW,51,0.25
Mumbai,OLD_CITY,EVENING,HIGH,27,0.24
Kolkata,URBAN,AFTERNOON,HIGH,46,0.83
Pune,OLD_CITY,AFTERNOON,MEDIUM,39,0.87
Mumbai,OLD_CITY,AFTERNOON,LOW,42,0.7
Bengaluru,URBAN,AFTERNOON,HIGH,43,0.8
Delhi,OLD_CITY,MORNING,MEDIUM,4,0.98
Delhi,URBAN,AFTERNOON,MEDIUM,73,0.83
Chennai,URBAN,EVENING,MEDIUM,35,0.87
Mumbai,OLD_CITY,MORNING,HIGH,46,0.43
Chennai,URBAN,EVENING,HIGH,61,0.93
Bengaluru,URBAN,EVENING,MEDIUM,78,0.94
Chennai,URBAN,EVENING,MEDIUM,50,0.48
Delhi,OLD_CITY,AFTERNOON,MEDIUM,5,0.21
Bengaluru,URBAN,AFTERNOON,HIGH,14,0.39
Hyderabad,OLD_CITY,AFTERNOON,LOW,8,0.17
Mumbai,OLD_CITY,AFTERNOON,LOW,37,0.32
Delhi,OLD_CITY,AFTERNOON,LOW,13,0.63
Pune,OLD_CITY,MORNING,LOW,20,0.83
Hyderabad,OLD_CITY,MORNING,HIGH,34,0.29
Pune,URBAN,MORNING,HIGH,50,0.52
Delhi,URBAN,MORNING,HIGH,25,0.64
Pune,OLD_CITY,MORNING,HIGH,11,0.32
Delhi,URBAN,EVENING,LOW,32,0.41
Bengaluru,OLD_CITY,AFTERNOON,HIGH,70,0.11
Bengaluru,OLD_CITY,EVENING,MEDIUM,10,0.74
Hyderabad,URBAN,AFTERNOON,MEDIUM,14,0.75
Mumbai,URBAN,MORNING,LOW,89,0.48
Mumbai,URBAN,AFTERNOON,MEDIUM,53,0.43
Pune,URBAN,AFTERNOON,LOW,82,0.28
Delhi,URBAN,EVENING,HIGH,42,0.95
Hyderabad,URBAN,EVENING,HIGH,66,0.5
Hyderabad,URBAN,EVENING,HIGH,36,0.6
Hyderabad,URBAN,AFTERNOON,LOW,66,0.84
Delhi,OLD_CITY,MORNING,HIGH,47,0.74
Kolkata,URBAN,AFTERNOON,MEDIUM,14,0.94
Chennai,OLD_CITY,EVENING,HIGH,45,0.14
Hyderabad,URBAN,EVENING,HIGH,41,0.11
Mumbai,URBAN,EVENING,LOW,39,0.86
Bengaluru,OLD_CITY,MORNING,MEDIUM,18,0.22
Bengaluru,OLD_CITY,MORNING,LOW,2,0.41
Mumbai,OLD_CITY,AFTERNOON,LOW,21,0.42
Mumbai,URBAN,MORNING,HIGH,89,0.39
Bengaluru,URBAN,MORNING,HIGH,28,0.99
Bengaluru,URBAN,AFTERNOON,LOW,12,0.95
Bengaluru,OLD_CITY,EVENING,LOW,26,0.75
Bengaluru,OLD_CITY,EVENING,MEDIUM,53,0.14
Hyderabad,URBAN,AFTERNOON,LOW,9,0.72
Hyderabad,OLD_CITY,AFTERNOON,LOW,50,0.23
Chennai,OLD_CITY,AFTERNOON,LOW,65,0.1
Chennai,URBAN,MORNING,HIGH,0,0.41
Mumbai,OLD_CITY,AFTERNOON,HIGH,30,0.76
Bengaluru,URBAN,MORNING,MEDIUM,67,0.23
Chennai,URBAN,EVENING,MEDIUM,63,0.83
Pune,URBAN,EVENING,LOW,15,0.19
Hyderabad,URBAN,MORNING,LOW,21,0.92
Pune,URBAN,EVENING,HIGH,58,0.72
Delhi,URBAN,AFTERNOON,MEDIUM,6,0.17
Kolkata,OLD_CITY,MORNING,LOW,15,0.62
Chennai,URBAN,EVENING,LOW,47,0.4
Pune,OLD_CITY,EVENING,MEDIUM,40,0.68
Chennai,OLD_CITY,AFTERNOON,LOW,69,0.61
Pune,OLD_CITY,EVENING,HIGH,41,0.32
Chennai,URBAN,EVENING,MEDIUM,53,0.39
Mumbai,OLD_CITY,MORNING,LOW,57,0.84
Bengaluru,OLD_CITY,AFTERNOON,MEDIUM,33,0.39
Kolkata,URBAN,EVENING,HIGH,2,0.64
Bengaluru,URBAN,AFTERNOON,MEDIUM,68,0.92
Kolkata,OLD_CITY,EVENING,HIGH,47,0.23
