weather_event_id,city,rainfall_mm,weather_severity,weather_impact_factor
WTH000000,Bangalore,0.46,High,85
WTH000001,Kolkata,0.04,Low,59
WTH000002,Pune,2.15,Low,30
WTH000003,Hyderabad,0.51,Low,33
WTH000004,Hyderabad,8.8,Medium,54
WTH000005,Delhi,4.03,Medium,38
WTH000006,Pune,0.69,Low,32
WTH000007,Hyderabad,0.63,Medium,59
WTH000008,Hyderabad,6.25,Low,8
WTH000009,Chennai,2.85,Medium,53
WTH000010,Bangalore,1.91,Medium,28
WTH000011,Delhi,5.64,Low,12
WTH000012,Delhi,6.75,Medium,34
WTH000013,Pune,1.53,Low,52
WTH000014,Mumbai,5.12,Low,36
WTH000015,Delhi,2.43,Low,17
WTH000016,Chennai,4.21,Medium,23
WTH000017,Mumbai,1.53,Low,59
WTH000018,Bangalore,1.08,High,84
WTH000019,Mumbai,1.36,Low,54
WTH000020,Bangalore,2.93,Low,23
WTH000021,Bangalore,1.38,Medium,59
WTH000022,Chennai,0.98,Low,18
WTH000023,Mumbai,2.08,Low,46
WTH000024,Hyderabad,0.04,Low,36
WTH000025,Mumbai,1.96,Medium,53
WTH000026,Mumbai,4.5,Low,28
WTH000027,Delhi,1.19,High,69
WTH000028,Hyderabad,0.2,High,97
WTH000029,Chennai,1.41,Low,6
WTH000030,Bangalore,2.42,Low,37
WTH000031,Chennai,2.27,High,91
WTH000032,Hyderabad,1.83,Low,53
WTH000033,Ahmedabad,1.17,Medium,24
WTH000034,Delhi,5.42,Medium,17
WTH000035,Kolkata,2.71,Low,39
WTH000036,Delhi,0.26,Low,51
WTH000037,Kolkata,3.53,Low,15
WTH000038,Chennai,0.66,Medium,36
WTH000039,Chennai,2.18,Low,15
WTH000040,Chennai,2.18,High,69
WTH000041,Pune,1.59,Low,12
WTH000042,Hyderabad,3.84,Low,22
WTH000043,Delhi,1.67,High,91
WTH000044,Delhi,3.19,Low,55
WTH000045,Kolkata,3.08,Medium,7
WTH000046,Hyderabad,0.95,Low,26
WTH000047,Kolkata,0.94,Low,30
WTH000048,Mumbai,1.67,Low,10
WTH000049,Ahmedabad,6.74,Low,12
WTH000050,Hyderabad,0.07,Medium,45
