weather_condition,severity,risk_score_addition,vehicle_stress,remarks
CLEAR,HIGH,8,False,api_simulated
CLEAR,LOW,28,True,api_simulated
CLEAR,MODERATE,20,True,api_simulated
RAIN,MODERATE,20,False,api_simulated
CLEAR,HIGH,12,True,api_simulated
STORM,HIGH,20,False,api_simulated
CLEAR,MODERATE,1,False,api_simulated
CLEAR,LOW,9,False,api_simulated
RAIN,HIGH,20,True,api_simulated
CLEAR,LOW,3,True,api_simulated
HEATWAVE,HIGH,19,True,api_simulated
STORM,MODERATE,28,False,api_simulated
RAIN,MODERATE,18,False,api_simulated
CLEAR,HIGH,19,True,api_simulated
HEATWAVE,LOW,15,False,api_simulated
CLEAR,HIGH,14,True,api_simulated
RAIN,LOW,4,True,api_simulated
CLEAR,HIGH,29,False,api_simulated
CLEAR,HIGH,23,False,api_simulated
CLEAR,LOW,27,False,api_simulated
RAIN,MODERATE,26,True,api_simulated
RAIN,HIGH,15,False,api_simulated
RAIN,HIGH,25,False,api_simulated
CLEAR,LOW,21,False,api_simulated
CLEAR,MODERATE,12,False,api_simulated
CLEAR,MODERATE,10,False,api_simulated
CLEAR,MODERATE,15,True,api_simulated
STORM,MODERATE,23,False,api_simulated
CLEAR,HIGH,22,False,api_simulated
RAIN,HIGH,12,True,api_simulated
CLEAR,LOW,1,False,api_simulated
CLEAR,LOW,27,True,api_simulated
HEATWAVE,MODERATE,8,False,api_simulated
CLEAR,LOW,7,True,api_simulated
STORM,HIGH,11,True,api_simulated
CLEAR,MODERATE,27,True,api_simulated
RAIN,LOW,26,False,api_simulated
STORM,HIGH,8,False,api_simulated
RAIN,HIGH,22,False,api_simulated
STORM,HIGH,10,True,api_simulated
CLEAR,LOW,25,False,api_simulated
CLEAR,LOW,4,False,api_simulated
CLEAR,HIGH,5,True,api_simulated
CLEAR,LOW,29,False,api_simulated
RAIN,LOW,15,False,api_simulated
CLEAR,MODERATE,7,False,api_simulated
CLEAR,HIGH,26,True,api_simulated
CLEAR,MODERATE,15,False,api_simulated
CLEAR,LOW,29,False,api_simulated
RAIN,HIGH,18,False,api_simulated
CLEAR,HIGH,18,True,api_simulated
HEATWAVE,LOW,26,False,api_simulated
CLEAR,HIGH,21,False,api_simulated
HEATWAVE,LOW,16,False,api_simulated
CLEAR,LOW,20,False,api_simulated
CLEAR,HIGH,5,False,api_simulated
CLEAR,HIGH,29,True,api_simulated
